,index,budget,genres,original_language,production_companies,release_date,revenue,runtime,title,budget_revenue_ratio
3715,3715,0,Adventure Action Western,en,"[{""name"": ""Quickfire Films"", ""id"": 4186}, {""name"": ""Televisi\u00f3n Espa\u00f1ola (TVE)"", ""id"": 6639}, {""name"": ""Arcadia Motion Pictures"", ""id"": 7543}, {""name"": ""Noodles Production"", ""id"": 7792}, {""name"": ""Canal+ Espa\u00f1a"", ""id"": 9335}, {""name"": ""Instituto de la Cinematograf\u00eda y de las Artes Audiovisuales (ICAA)"", ""id"": 9974}, {""name"": ""Instituto de Cr\u00e9dito Oficial (ICO)"", ""id"": 11427}, {""name"": ""ONO"", ""id"": 40789}, {""name"": ""Ariane Marar\u00eda Films"", ""id"": 53194}, {""name"": ""Nix Films"", ""id"": 53195}, {""name"": ""Eter Pictures"", ""id"": 53196}, {""name"": ""Manto Films"", ""id"": 53197}, {""name"": ""Pegaso Producciones"", ""id"": 53198}, {""name"": ""Ibermedia European Community Program"", ""id"": 53199}, {""name"": ""Audiovisual Aval SGR"", ""id"": 53200}]",2011-08-31,623528,98.0,Blackthorn,inf
542,542,0,Action Drama Horror Science Fiction Thriller,en,"[{""name"": ""Paramount Vantage"", ""id"": 838}, {""name"": ""Likely Story"", ""id"": 1785}, {""name"": ""Ivy Boy Productions"", ""id"": 4482}, {""name"": ""This Is That Productions"", ""id"": 10059}]",2009-09-04,5802422,84.0,Carriers,inf
489,489,0,Documentary Family,en,"[{""name"": ""Path\u00e9 Films"", ""id"": 4959}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""TPS Star"", ""id"": 6586}, {""name"": ""Participant Media"", ""id"": 6735}, {""name"": ""France T\u00e9l\u00e9vision"", ""id"": 7454}, {""name"": ""France 2 Cin\u00e9ma"", ""id"": 15671}, {""name"": ""France 3 Cinema"", ""id"": 16804}, {""name"": ""Centre National de la Cin\u00e9matographie (CNC)"", ""id"": 18367}, {""name"": ""Conseil R\u00e9gional du Calvados"", ""id"": 19267}, {""name"": ""R\u00e9gion Bretagne"", ""id"": 20346}, {""name"": ""Minist\u00e8re du D\u00e9veloppement Durable et de la Mer"", ""id"": 33250}, {""name"": ""JMH-TSR"", ""id"": 33251}, {""name"": ""HH Sheikha Salama bint Hamdan Al Nahyan"", ""id"": 33252}, {""name"": ""Conseil G\u00e9n\u00e9ral des C\u00f4tes d'Armor"", ""id"": 33253}, {""name"": ""Conseil G\u00e9n\u00e9ral du Morbihan"", ""id"": 33254}, {""name"": ""R\u00e9gion Basse-Normandie"", ""id"": 33255}]",2009-10-17,19406406,84.0,Oceans,inf
475,475,0,Action Adventure Drama,en,"[{""name"": ""Art Linson Productions"", ""id"": 8769}]",1997-09-06,43312294,117.0,The Edge,inf
4766,4766,0,Documentary Music,en,"[{""name"": ""FM Productions"", ""id"": 12601}, {""name"": ""Last Waltz Inc."", ""id"": 12602}]",1978-05-01,321952,117.0,The Last Waltz,inf
409,409,0,Drama Music,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}]",1979-12-20,37823676,123.0,All That Jazz,inf
3751,3751,0,Documentary,en,"[{""name"": ""Lord of the Wind"", ""id"": 2453}]",2004-04-23,10000000,109.0,What the #$*! Do We (K)now!?,inf
3773,3773,0,Comedy Drama,en,"[{""name"": ""Sony Pictures Classics"", ""id"": 58}, {""name"": ""Bob Yari Productions"", ""id"": 12260}]",2005-01-23,1919197,96.0,Thumbsucker,inf
3882,3882,0,Action Comedy Horror,en,"[{""name"": ""Neo Art & Logic"", ""id"": 2811}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Maloof Motion Pictures"", ""id"": 48688}]",2005-10-14,658573,95.0,Feast,inf
4576,4576,0,Crime Thriller,en,"[{""name"": ""Film Science"", ""id"": 1976}, {""name"": ""The Lab Of Madness"", ""id"": 2772}, {""name"": ""Neighborhood Watch"", ""id"": 22700}, {""name"": ""Paradise City"", ""id"": 28360}]",2014-04-25,258384,90.0,Blue Ruin,inf
4565,4565,0,Action Adventure Drama History,en,"[{""name"": ""Portman Entertainment Group"", ""id"": 1095}, {""name"": ""B\u00f3rd Scann\u00e1n na h\u00c9ireann"", ""id"": 1898}, {""name"": ""Hell's Kitchen Films"", ""id"": 2307}, {""name"": ""Granada Television"", ""id"": 14063}]",2002-01-16,773228,107.0,Bloody Sunday,inf
3354,3354,0,Documentary,en,"[{""name"": ""IMAX"", ""id"": 3447}]",2000-05-05,21268532,46.0,Michael Jordan to the Max,inf
4447,4447,0,Comedy Drama Romance,en,"[{""name"": ""Team Todd"", ""id"": 598}]",2012-08-03,3094813,91.0,Celeste & Jesse Forever,inf
4549,4549,0,Action Drama Thriller,en,"[{""name"": ""Voltage Pictures"", ""id"": 10255}, {""name"": ""Sobini Films"", ""id"": 13923}, {""name"": ""Dune Films"", ""id"": 19477}]",2015-04-09,316472,104.0,Good Kill,inf
3404,3404,0,Romance Western,en,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Malpaso Company"", ""id"": 15298}]",1985-06-28,41410568,115.0,Pale Rider,inf
